    subject              activity    TimeBodyAccMeanX    TimeBodyAccMeanY    TimeBodyAccMeanZ    TimeBodyAccStdDevX    TimeBodyAccStdDevY    TimeBodyAccStdDevZ    TimeGravityAccMeanX    TimeGravityAccMeanY    TimeGravityAccMeanZ    TimeGravityAccStdDevX    TimeGravityAccStdDevY    TimeGravityAccStdDevZ    TimeBodyAccJerkMeanX    TimeBodyAccJerkMeanY    TimeBodyAccJerkMeanZ    TimeBodyAccJerkStdDevX    TimeBodyAccJerkStdDevY    TimeBodyAccJerkStdDevZ    TimeBodyGyroMeanX    TimeBodyGyroMeanY    TimeBodyGyroMeanZ    TimeBodyGyroStdDevX    TimeBodyGyroStdDevY    TimeBodyGyroStdDevZ    TimeBodyGyroJerkMeanX    TimeBodyGyroJerkMeanY    TimeBodyGyroJerkMeanZ    TimeBodyGyroJerkStdDevX    TimeBodyGyroJerkStdDevY    TimeBodyGyroJerkStdDevZ    TimeBodyAccMagMean    TimeBodyAccMagStdDev    TimeGravityAccMagMean    TimeGravityAccMagStdDev    TimeBodyAccJerkMagMean    TimeBodyAccJerkMagStdDev    TimeBodyGyroMagMean    TimeBodyGyroMagStdDev    TimeBodyGyroJerkMagMean    TimeBodyGyroJerkMagStdDev    FreqBodyAccMeanX    FreqBodyAccMeanY    FreqBodyAccMeanZ    FreqBodyAccStdDevX    FreqBodyAccStdDevY    FreqBodyAccStdDevZ    FreqBodyAccMeanFreqX    FreqBodyAccMeanFreqY    FreqBodyAccMeanFreqZ    FreqBodyAccJerkMeanX    FreqBodyAccJerkMeanY    FreqBodyAccJerkMeanZ    FreqBodyAccJerkStdDevX    FreqBodyAccJerkStdDevY    FreqBodyAccJerkStdDevZ    FreqBodyAccJerkMeanFreqX    FreqBodyAccJerkMeanFreqY    FreqBodyAccJerkMeanFreqZ    FreqBodyGyroMeanX    FreqBodyGyroMeanY    FreqBodyGyroMeanZ    FreqBodyGyroStdDevX    FreqBodyGyroStdDevY    FreqBodyGyroStdDevZ    FreqBodyGyroMeanFreqX    FreqBodyGyroMeanFreqY    FreqBodyGyroMeanFreqZ    FreqBodyAccMagMean    FreqBodyAccMagStdDev    FreqBodyAccMagMeanFreq    FreqBodyBodyAccJerkMagMean    FreqBodyBodyAccJerkMagStdDev    FreqBodyBodyAccJerkMagMeanFreq    FreqBodyBodyGyroMagMean    FreqBodyBodyGyroMagStdDev    FreqBodyBodyGyroMagMeanFreq    FreqBodyBodyGyroJerkMagMean    FreqBodyBodyGyroJerkMagStdDev    FreqBodyBodyGyroJerkMagMeanFreq    angletBodyAccMean,gravity    angletBodyAccJerkMean,gravityMean    angletBodyGyroMean,gravityMean    angletBodyGyroJerkMean,gravityMean    angleX,gravityMean    angleY,gravityMean    angleZ,gravityMean
          1               WALKING               0.277            -0.01738             -0.1111              -0.28374               0.11446              -0.26003                  0.935               -0.28217               -0.06810                   -0.977                   -0.971                   -0.948                  0.0740                2.83e-02               -4.17e-03                  -0.11362                   0.06700                   -0.5027            -0.041831             -0.06953             0.084945                -0.4735               -0.05461                -0.3443                  -0.0900                  -0.0398                 -0.04613                    -0.2074                    -0.3045                   -0.40426             -0.136971                 -0.2197                -0.136971                    -0.2197                  -0.14143                     -0.0745                -0.1610                  -0.1870                    -0.2987                      -0.3253             -0.2028             0.08971             -0.3316              -0.31913               0.05604               -0.2797               -2.08e-01                0.113094                0.049727                -0.17055                -0.03523                 -0.4690                  -0.13359                   0.10674                  -0.53471                    -0.20926                   -3.86e-01                    -0.18553              -0.3390              -0.1031              -0.2559                 -0.517                -0.0335                -0.4366                  0.01478                 -0.06577                 0.000773              -0.12862               -0.398033                  0.190644                     -0.057119                         -0.1035                           0.09382                  -0.199253                      -0.3210                       0.268844                        -0.3193                          -0.3816                           0.190663                     6.05e-02                            -0.007930                          0.013059                             -1.87e-02                -0.729              2.77e-01              0.068859
          1      WALKING_UPSTAIRS               0.255            -0.02395             -0.0973              -0.35471              -0.00232              -0.01948                  0.893               -0.36215               -0.07540                   -0.956                   -0.953                   -0.912                  0.1014                1.95e-02               -4.56e-02                  -0.44684                  -0.37827                   -0.7066             0.050549             -0.16617             0.058360                -0.5449                0.00411                -0.5072                  -0.1222                  -0.0421                 -0.04071                    -0.6148                    -0.6017                   -0.60633             -0.129928                 -0.3250                -0.129928                    -0.3250                  -0.46650                     -0.4790                -0.1267                  -0.1486                    -0.5949                      -0.6486             -0.4043            -0.19098             -0.4333              -0.33743               0.02177                0.0860               -4.19e-01               -0.160697               -0.520115                -0.47988                -0.41344                 -0.6855                  -0.46191                  -0.38178                  -0.72604                    -0.37702                   -5.09e-01                    -0.55110              -0.4926              -0.3195              -0.4536                 -0.566                 0.1515                -0.5717                 -0.18745                 -0.47357                -0.133374              -0.35240               -0.416260                 -0.097743                     -0.442652                         -0.5331                           0.08535                  -0.325961                      -0.1830                      -0.219303                        -0.6347                          -0.6939                           0.114277                     9.61e-02                            -0.061084                         -0.194700                              6.57e-02                -0.647              3.35e-01              0.074166
          1    WALKING_DOWNSTAIRS               0.289            -0.00992             -0.1076               0.03004              -0.03194              -0.23043                  0.932               -0.26661               -0.06212                   -0.951                   -0.937                   -0.896                  0.0542                2.97e-02               -1.10e-02                  -0.01228                  -0.10160                   -0.3457            -0.035078             -0.09094             0.090085                -0.4580               -0.12635                -0.1247                  -0.0740                  -0.0440                 -0.02705                    -0.4870                    -0.2388                   -0.26876              0.027188                  0.0199                 0.027188                     0.0199                  -0.08945                     -0.0258                -0.0757                  -0.2257                    -0.2955                      -0.3065              0.0382             0.00155             -0.2256               0.02433              -0.11296               -0.2979               -3.07e-01                0.063220                0.294323                -0.02766                -0.12867                 -0.2883                  -0.08633                  -0.13458                  -0.40172                    -0.25316                   -3.38e-01                     0.00937              -0.3524              -0.0557              -0.0319                 -0.495                -0.1814                -0.2384                 -0.10045                  0.08255                -0.075676               0.09658               -0.186530                  0.119187                      0.026218                         -0.1041                           0.07649                  -0.185720                      -0.3984                       0.349614                        -0.2820                          -0.3919                           0.190001                    -2.70e-03                             0.089932                          0.063338                             -4.00e-02                -0.744              2.67e-01              0.065005
          1               SITTING               0.261            -0.00131             -0.1045              -0.97723              -0.92262              -0.93959                  0.832                0.20441                0.33204                   -0.968                   -0.936                   -0.949                  0.0775               -6.19e-04               -3.37e-03                  -0.98643                  -0.98137                   -0.9879            -0.045350             -0.09192             0.062931                -0.9772               -0.96647                -0.9414                  -0.0937                  -0.0402                 -0.04670                    -0.9917                    -0.9895                   -0.98794             -0.948537                 -0.9271                -0.948537                    -0.9271                  -0.98736                     -0.9841                -0.9309                  -0.9345                    -0.9920                      -0.9883             -0.9796            -0.94408             -0.9592              -0.97641              -0.91728               -0.9345               -4.95e-02                0.075946                0.238830                -0.98660                -0.98158                 -0.9861                  -0.98749                  -0.98251                  -0.98834                     0.25661                    4.75e-02                     0.09239              -0.9762              -0.9758              -0.9513                 -0.978                -0.9623                -0.9439                  0.18915                  0.06313                -0.029784              -0.94778               -0.928445                  0.236655                     -0.985262                         -0.9816                           0.35185                  -0.958436                      -0.9322                      -0.000262                        -0.9898                          -0.9870                           0.184776                     2.74e-02                             0.029710                          0.067698                             -6.49e-02                -0.591             -6.05e-02             -0.218017
          1              STANDING               0.279            -0.01614             -0.1106              -0.99576              -0.97319              -0.97978                  0.943               -0.27298                0.01349                   -0.994                   -0.981                   -0.976                  0.0754                7.98e-03               -3.69e-03                  -0.99460                  -0.98565                   -0.9923            -0.023988             -0.05940             0.074801                -0.9872               -0.98773                -0.9806                  -0.0996                  -0.0441                 -0.04895                    -0.9929                    -0.9951                   -0.99211             -0.984278                 -0.9819                -0.984278                    -0.9819                  -0.99237                     -0.9931                -0.9765                  -0.9787                    -0.9950                      -0.9947             -0.9952            -0.97707             -0.9853              -0.99603              -0.97229               -0.9779                8.65e-02                0.117479                0.244859                -0.99463                -0.98542                 -0.9908                  -0.99507                  -0.98702                  -0.99235                     0.31418                    3.92e-02                     0.13858              -0.9864              -0.9890              -0.9808                 -0.987                -0.9871                -0.9823                 -0.12029                 -0.04472                 0.100608              -0.98536               -0.982314                  0.284555                     -0.992542                         -0.9925                           0.42222                  -0.984618                      -0.9785                      -0.028606                        -0.9948                          -0.9947                           0.334499                    -2.22e-04                             0.021964                         -0.033794                             -2.79e-02                -0.743              2.70e-01              0.012253
          1                LAYING               0.222            -0.04051             -0.1132              -0.92806              -0.83683              -0.82606                 -0.249                0.70555                0.44582                   -0.897                   -0.908                   -0.852                  0.0811                3.84e-03                1.08e-02                  -0.95848                  -0.92415                   -0.9549            -0.016553             -0.06449             0.148689                -0.8735               -0.95109                -0.9083                  -0.1073                  -0.0415                 -0.07405                    -0.9186                    -0.9679                   -0.95779             -0.841929                 -0.7951                -0.841929                    -0.7951                  -0.95440                     -0.9282                -0.8748                  -0.8190                    -0.9635                      -0.9358             -0.9391            -0.86707             -0.8827              -0.92444              -0.83363               -0.8129               -1.59e-01                0.097535                0.089438                -0.95707                -0.92246                 -0.9481                  -0.96416                  -0.93222                  -0.96059                     0.13242                    2.45e-02                     0.02439              -0.8502              -0.9522              -0.9093                 -0.882                -0.9512                -0.9166                 -0.00355                 -0.09153                 0.010458              -0.86177               -0.798301                  0.086409                     -0.933300                         -0.9218                           0.26639                  -0.862190                      -0.8243                      -0.139775                        -0.9424                          -0.9327                           0.176486                     2.14e-02                             0.003060                         -0.001667                              8.44e-02                 0.427             -5.20e-01             -0.352413
          2               WALKING               0.276            -0.01859             -0.1055              -0.42364              -0.07809              -0.42526                  0.913               -0.34661                0.08473                   -0.973                   -0.972                   -0.972                  0.0618                1.82e-02                7.90e-03                  -0.27753                  -0.01660                   -0.5861            -0.053026             -0.04824             0.082834                -0.5616               -0.53845                -0.4811                  -0.0819                  -0.0538                 -0.05149                    -0.3895                    -0.6341                   -0.43549             -0.290408                 -0.4225                -0.290408                    -0.4225                  -0.28142                     -0.1642                -0.4465                  -0.5530                    -0.5479                      -0.5578             -0.3460            -0.02190             -0.4538              -0.45765              -0.16922               -0.4552               -1.46e-01                0.198586                0.068900                -0.30462                -0.07876                 -0.5550                  -0.31431                  -0.01533                  -0.61590                    -0.07271                   -2.64e-01                    -0.25485              -0.4297              -0.5548              -0.3967                 -0.604                -0.5330                -0.5599                  0.00728                 -0.04270                 0.139752              -0.32429               -0.577105                  0.393206                     -0.169064                         -0.1641                           0.20750                  -0.530705                      -0.6518                       0.305284                        -0.5832                          -0.5581                           0.126345                    -3.01e-02                             0.053401                          0.021620                             -8.58e-02                -0.662              3.21e-01             -0.036889
          2      WALKING_UPSTAIRS               0.247            -0.02141             -0.1525              -0.30438               0.10803              -0.11212                  0.791               -0.41621               -0.19589                   -0.934                   -0.924                   -0.878                  0.0745               -9.71e-03                1.95e-02                  -0.27612                  -0.18565                   -0.5737            -0.057691             -0.03209             0.068837                -0.4393               -0.46630                -0.1640                  -0.0829                  -0.0424                 -0.04452                    -0.4649                    -0.6455                   -0.46760             -0.107323                 -0.2060                -0.107323                    -0.2060                  -0.32127                     -0.2174                -0.2197                  -0.3775                    -0.5728                      -0.5973             -0.2667             0.00992             -0.2810              -0.32058               0.08488               -0.0945               -2.82e-01               -0.061889               -0.236589                -0.25864                -0.18784                 -0.5227                  -0.36542                  -0.24355                  -0.62509                    -0.04911                   -2.88e-01                    -0.37422              -0.3316              -0.4881              -0.2486                 -0.476                -0.4598                -0.2181                 -0.11532                 -0.13036                -0.077342              -0.14532               -0.366728                  0.107680                     -0.189511                         -0.2604                          -0.01192                  -0.450612                      -0.4386                      -0.022753                        -0.6008                          -0.6218                           0.046743                     9.47e-02                            -0.007755                          0.015382                             -8.10e-02                -0.478              3.74e-01              0.165147
          2    WALKING_DOWNSTAIRS               0.278            -0.02266             -0.1168               0.04637               0.26288              -0.10284                  0.862               -0.32578               -0.04389                   -0.940                   -0.940                   -0.931                  0.1100               -3.28e-03               -2.09e-02                   0.14725                   0.12683                   -0.3401            -0.115947             -0.00482             0.097174                -0.3208               -0.41574                -0.2794                  -0.0581                  -0.0421                 -0.07102                    -0.2439                    -0.4694                   -0.21827              0.089951                  0.2156                 0.089951                     0.2156                   0.00566                      0.2296                -0.1622                  -0.2748                    -0.4109                      -0.3432              0.1128             0.27835             -0.1313               0.01610               0.17197               -0.1620               -2.74e-01                0.011931                0.090368                 0.13812                 0.09621                 -0.2715                   0.04996                   0.08083                  -0.40823                    -0.14390                   -3.58e-01                    -0.23470              -0.1458              -0.3619              -0.0875                 -0.379                -0.4587                -0.4230                 -0.03753                  0.07709                 0.136775               0.29342               -0.021479                  0.093832                      0.222247                          0.2275                           0.01884                  -0.320839                      -0.3726                       0.103971                        -0.3802                          -0.3437                          -0.051248                    -2.43e-02                            -0.006376                          0.366551                             -7.36e-02                -0.625              3.12e-01              0.053729
          2               SITTING               0.277            -0.01569             -0.1092              -0.98682              -0.95070              -0.95983                  0.940               -0.10563                0.19873                   -0.980                   -0.957                   -0.954                  0.0723                1.17e-02                7.61e-03                  -0.98806                  -0.97798                   -0.9875            -0.045471             -0.05993             0.041228                -0.9857               -0.97892                -0.9598                  -0.0936                  -0.0416                 -0.04359                    -0.9897                    -0.9909                   -0.98554             -0.967894                 -0.9531                -0.967894                    -0.9531                  -0.98677                     -0.9845                -0.9460                  -0.9613                    -0.9911                      -0.9896             -0.9858            -0.95734             -0.9702              -0.98736              -0.95007               -0.9569                8.52e-02                0.150194                0.096065                -0.98785                -0.97714                 -0.9851                  -0.98946                  -0.98080                  -0.98857                     0.30555                    2.62e-02                     0.09290              -0.9826              -0.9821              -0.9598                 -0.987                -0.9774                -0.9635                  0.13052                 -0.19214                 0.040947              -0.96127               -0.955576                  0.130934                     -0.983875                         -0.9841                           0.28006                  -0.971841                      -0.9614                      -0.106359                        -0.9899                          -0.9896                           0.194722                     3.95e-02                            -0.003393                          0.020973                             -7.62e-02                -0.774              1.56e-01             -0.118224
